store_id,product_id,stock_quantity,last_updated
3,76,35,6/1/2020
20,5,9,6/1/2020
1,50,31,6/2/2020
11,86,64,6/2/2020
3,52,41,6/2/2020
11,43,3,6/2/2020
1,44,43,6/3/2020
15,100,141,6/3/2020
3,68,155,6/3/2020
9,18,56,6/3/2020
14,44,91,6/3/2020
9,22,53,6/3/2020
19,43,55,6/3/2020
1,28,19,6/4/2020
1,59,120,6/4/2020
15,47,107,6/4/2020
16,38,100,6/5/2020
10,99,7,6/5/2020
16,18,140,6/6/2020
19,12,102,6/6/2020
6,41,157,6/6/2020
8,10,16,6/6/2020
17,34,10,6/7/2020
4,57,117,6/7/2020
15,92,84,6/7/2020
7,16,1,6/8/2020
20,74,77,6/8/2020
18,63,156,6/8/2020
5,31,170,6/9/2020
5,98,5,6/9/2020
8,93,33,6/9/2020
13,71,82,6/9/2020
6,49,24,6/10/2020
8,94,111,6/10/2020
7,54,131,6/11/2020
11,90,144,6/11/2020
15,51,143,6/12/2020
7,49,125,6/13/2020
17,48,49,6/13/2020
10,26,75,6/13/2020
1,57,93,6/13/2020
5,13,165,6/13/2020
7,57,74,6/14/2020
10,33,73,6/16/2020
18,65,161,6/17/2020
20,67,105,6/17/2020
2,16,109,6/17/2020
13,1,69,6/18/2020
9,83,122,6/18/2020
18,51,165,6/18/2020
7,96,58,6/18/2020
6,50,62,6/19/2020
20,59,112,6/20/2020
16,71,49,6/21/2020
13,50,111,6/21/2020
19,1,18,6/22/2020
14,50,74,6/22/2020
1,96,17,6/22/2020
20,61,57,6/23/2020
15,19,15,6/23/2020
4,16,42,6/24/2020
9,10,77,6/25/2020
12,33,143,6/25/2020
18,76,116,6/25/2020
14,16,43,6/25/2020
7,52,79,6/26/2020
7,95,46,6/26/2020
7,49,128,6/27/2020
1,91,147,6/27/2020
16,6,81,6/27/2020
1,47,86,6/28/2020
16,60,78,6/28/2020
17,44,66,6/28/2020
13,19,2,6/28/2020
20,61,6,6/29/2020
1,70,100,6/29/2020
15,19,22,6/30/2020
2,100,77,6/30/2020
4,84,164,7/1/2020
11,51,135,7/1/2020
4,23,1,7/1/2020
5,91,19,7/2/2020
20,90,19,7/2/2020
2,87,96,7/3/2020
4,81,120,7/3/2020
3,40,154,7/3/2020
12,73,140,7/5/2020
5,41,10,7/6/2020
14,87,79,7/6/2020
5,92,160,7/6/2020
1,15,55,7/6/2020
5,80,135,7/6/2020
15,32,55,7/6/2020
12,8,137,7/7/2020
10,33,2,7/7/2020
18,32,13,7/8/2020
16,70,41,7/8/2020
3,75,25,7/9/2020
14,75,158,7/9/2020
12,80,61,7/10/2020
15,53,109,7/10/2020
10,27,84,7/11/2020
10,92,166,7/12/2020
3,95,113,7/12/2020
9,6,158,7/12/2020
10,44,2,7/12/2020
2,3,9,7/13/2020
18,14,137,7/13/2020
5,85,80,7/13/2020
17,79,2,7/15/2020
16,47,5,7/15/2020
15,21,12,7/16/2020
10,92,35,7/16/2020
16,66,86,7/16/2020
10,88,76,7/16/2020
20,37,154,7/17/2020
19,22,87,7/17/2020
7,63,48,7/18/2020
10,78,90,7/18/2020
4,13,93,7/19/2020
9,17,87,7/19/2020
11,10,74,7/19/2020
16,36,68,7/19/2020
7,51,37,7/19/2020
12,75,129,7/19/2020
9,33,56,7/19/2020
20,81,20,7/20/2020
14,27,79,7/20/2020
6,13,58,7/21/2020
4,63,77,7/21/2020
17,4,85,7/21/2020
5,97,26,7/22/2020
20,98,159,7/22/2020
20,85,120,7/23/2020
7,96,134,7/23/2020
5,4,67,7/23/2020
19,78,159,7/24/2020
13,35,132,7/24/2020
18,45,87,7/24/2020
8,27,149,7/24/2020
1,42,35,7/24/2020
10,90,33,7/25/2020
18,76,76,7/25/2020
3,20,128,7/25/2020
11,85,111,7/25/2020
17,71,170,7/26/2020
10,90,65,7/26/2020
4,76,73,7/26/2020
19,45,10,7/26/2020
15,50,57,7/27/2020
5,15,8,7/28/2020
14,82,85,7/29/2020
20,5,96,7/29/2020
13,100,116,7/29/2020
20,53,128,7/30/2020
5,7,64,7/30/2020
18,6,122,7/31/2020
15,21,28,7/31/2020
8,61,42,7/31/2020
17,8,54,7/31/2020
8,70,7,7/31/2020
6,26,14,7/31/2020
20,55,69,7/31/2020
20,23,31,8/1/2020
11,36,121,8/1/2020
4,94,24,8/1/2020
8,96,28,8/2/2020
9,18,2,8/2/2020
14,68,113,8/2/2020
14,18,68,8/2/2020
10,56,170,8/2/2020
9,67,84,8/2/2020
9,74,25,8/2/2020
9,87,60,8/3/2020
4,9,119,8/3/2020
5,73,26,8/3/2020
11,64,30,8/4/2020
12,65,135,8/4/2020
9,67,104,8/4/2020
6,67,25,8/5/2020
18,20,138,8/5/2020
18,22,105,8/6/2020
14,40,47,8/6/2020
1,36,153,8/6/2020
15,68,56,8/6/2020
10,81,97,8/6/2020
18,6,93,8/6/2020
13,25,91,8/6/2020
8,35,148,8/7/2020
13,97,82,8/7/2020
18,54,84,8/7/2020
6,57,8,8/8/2020
16,38,50,8/8/2020
19,5,142,8/9/2020
17,10,102,8/9/2020
13,85,10,8/10/2020
11,13,164,8/10/2020
20,4,112,8/10/2020
17,46,69,8/10/2020
3,17,56,8/11/2020
11,80,115,8/11/2020
6,26,87,8/11/2020
9,57,37,8/12/2020
15,74,37,8/12/2020
6,86,141,8/13/2020
1,4,55,8/13/2020
7,57,82,8/13/2020
13,95,91,8/13/2020
18,87,105,8/15/2020
7,29,99,8/15/2020
2,93,92,8/16/2020
6,55,15,8/16/2020
2,4,82,8/17/2020
2,60,52,8/17/2020
1,88,12,8/18/2020
8,63,39,8/18/2020
19,8,92,8/18/2020
13,50,126,8/18/2020
8,62,27,8/18/2020
15,54,45,8/18/2020
12,75,85,8/18/2020
9,3,12,8/19/2020
11,37,28,8/19/2020
4,16,22,8/19/2020
16,96,39,8/20/2020
7,95,49,8/21/2020
4,52,111,8/21/2020
13,77,100,8/22/2020
15,81,52,8/22/2020
17,61,19,8/23/2020
11,61,154,8/23/2020
14,12,62,8/23/2020
12,9,30,8/24/2020
7,20,62,8/25/2020
13,91,96,8/25/2020
16,79,108,8/25/2020
2,16,121,8/25/2020
6,39,32,8/26/2020
12,78,6,8/26/2020
3,58,24,8/27/2020
11,74,77,8/28/2020
9,86,26,8/29/2020
7,60,166,8/29/2020
1,68,18,8/29/2020
17,37,8,8/29/2020
18,83,86,8/29/2020
14,3,145,8/29/2020
14,32,74,8/30/2020
13,3,0,8/30/2020
19,24,64,8/30/2020
8,97,64,8/30/2020
17,84,140,8/30/2020
11,40,124,8/31/2020
9,74,60,8/31/2020
1,72,1,9/1/2020
9,94,133,9/1/2020
15,68,23,9/1/2020
6,12,95,9/2/2020
3,32,2,9/3/2020
9,90,152,9/3/2020
16,8,132,9/3/2020
4,11,14,9/3/2020
2,58,55,9/4/2020
19,31,4,9/4/2020
12,94,34,9/4/2020
3,42,127,9/5/2020
7,57,136,9/5/2020
12,17,42,9/5/2020
4,47,127,9/6/2020
12,5,152,9/6/2020
9,23,123,9/6/2020
3,63,77,9/7/2020
14,20,92,9/7/2020
11,30,115,9/8/2020
3,55,66,9/8/2020
11,55,100,9/8/2020
10,93,96,9/8/2020
18,90,71,9/8/2020
3,40,62,9/9/2020
8,92,79,9/9/2020
20,67,42,9/9/2020
16,17,94,9/9/2020
9,41,25,9/9/2020
20,78,167,9/10/2020
2,41,36,9/10/2020
8,67,89,9/11/2020
20,53,101,9/11/2020
12,3,34,9/11/2020
14,65,28,9/11/2020
3,79,117,9/12/2020
10,70,10,9/12/2020
14,95,15,9/12/2020
16,85,102,9/13/2020
13,98,107,9/14/2020
4,69,161,9/14/2020
8,97,73,9/14/2020
4,68,95,9/15/2020
18,85,31,9/15/2020
19,38,102,9/15/2020
13,72,116,9/15/2020
18,1,10,9/16/2020
13,22,32,9/16/2020
1,54,164,9/16/2020
5,15,0,9/16/2020
15,39,61,9/16/2020
1,76,114,9/17/2020
5,19,42,9/17/2020
6,81,93,9/18/2020
7,5,115,9/18/2020
16,88,93,9/18/2020
11,76,166,9/18/2020
18,4,50,9/18/2020
4,72,11,9/18/2020
9,67,73,9/18/2020
14,38,11,9/19/2020
19,91,27,9/19/2020
14,46,93,9/19/2020
19,83,141,9/19/2020
8,37,139,9/19/2020
8,18,90,9/19/2020
20,60,118,9/20/2020
16,16,105,9/20/2020
2,53,151,9/21/2020
20,8,68,9/21/2020
5,27,55,9/21/2020
3,42,59,9/21/2020
15,69,64,9/21/2020
12,18,88,9/21/2020
1,1,57,9/22/2020
10,71,136,9/22/2020
1,79,110,9/22/2020
2,27,130,9/22/2020
9,12,70,9/22/2020
19,41,38,9/24/2020
5,92,151,9/25/2020
15,12,162,9/25/2020
3,41,128,9/25/2020
4,63,56,9/25/2020
10,22,85,9/26/2020
15,79,122,9/26/2020
19,58,163,9/26/2020
5,1,27,9/27/2020
12,32,42,9/27/2020
6,39,120,9/27/2020
14,42,29,9/28/2020
4,93,18,9/28/2020
1,33,161,9/28/2020
2,29,39,9/29/2020
10,43,142,9/30/2020
12,54,99,9/30/2020
5,47,14,10/1/2020
20,86,115,10/1/2020
13,70,67,10/1/2020
1,77,89,10/1/2020
5,43,154,10/2/2020
13,79,113,10/2/2020
9,99,20,10/2/2020
6,31,95,10/2/2020
17,42,56,10/2/2020
6,6,95,10/2/2020
17,4,86,10/3/2020
8,28,130,10/3/2020
3,91,63,10/3/2020
18,52,122,10/4/2020
14,29,110,10/4/2020
19,4,90,10/4/2020
19,92,2,10/4/2020
15,72,131,10/5/2020
4,69,111,10/5/2020
6,11,56,10/6/2020
13,39,2,10/6/2020
19,65,3,10/7/2020
15,68,137,10/7/2020
1,46,116,10/7/2020
5,25,96,10/7/2020
16,12,124,10/7/2020
16,28,53,10/7/2020
7,99,16,10/7/2020
12,64,99,10/8/2020
15,93,50,10/8/2020
14,23,94,10/9/2020
14,9,144,10/10/2020
9,22,130,10/11/2020
11,86,35,10/12/2020
8,26,58,10/12/2020
9,75,146,10/12/2020
10,47,134,10/12/2020
3,14,69,10/13/2020
8,7,88,10/13/2020
19,19,72,10/13/2020
5,2,23,10/14/2020
2,86,1,10/14/2020
10,81,94,10/14/2020
14,13,20,10/14/2020
16,4,124,10/15/2020
7,64,28,10/15/2020
7,24,6,10/15/2020
11,79,146,10/15/2020
12,48,96,10/16/2020
18,86,141,10/17/2020
4,53,49,10/17/2020
8,13,91,10/17/2020
3,37,7,10/17/2020
5,47,109,10/18/2020
1,65,63,10/18/2020
