sale_id,store_id,product_id,customer_id,quantity,sale_date
1,10,64,257,2,6/1/2020
2,18,89,13,1,6/1/2020
3,4,27,459,3,6/1/2020
4,1,6,468,2,6/1/2020
5,12,61,336,3,6/1/2020
6,9,32,416,1,6/2/2020
7,19,91,189,2,6/2/2020
8,4,76,129,1,6/3/2020
9,15,73,143,2,6/3/2020
10,3,82,290,3,6/4/2020
11,9,90,64,1,6/4/2020
12,18,88,468,2,6/5/2020
13,1,5,155,2,6/5/2020
14,19,12,25,1,6/5/2020
15,14,53,407,3,6/6/2020
16,6,64,255,2,6/6/2020
17,15,60,259,2,6/7/2020
18,17,56,87,1,6/7/2020
19,15,68,263,3,6/8/2020
20,4,30,170,1,6/9/2020
21,12,40,463,4,6/9/2020
22,2,62,138,2,6/10/2020
23,6,17,192,2,6/10/2020
24,19,30,495,3,6/10/2020
25,5,89,233,3,6/11/2020
26,19,54,230,2,6/11/2020
27,13,52,33,2,6/11/2020
28,4,46,417,2,6/11/2020
29,19,49,487,1,6/11/2020
30,16,43,459,2,6/11/2020
31,14,30,102,3,6/11/2020
32,18,52,111,2,6/12/2020
33,5,9,252,4,6/12/2020
34,3,44,166,1,6/13/2020
35,10,71,491,1,6/13/2020
36,10,17,495,4,6/13/2020
37,16,34,266,3,6/13/2020
38,5,25,426,1,6/13/2020
39,4,84,487,2,6/16/2020
40,16,61,76,3,6/16/2020
41,20,5,267,1,6/16/2020
42,12,27,299,5,6/16/2020
43,15,73,292,4,6/16/2020
44,5,40,40,1,6/17/2020
45,18,17,64,2,6/17/2020
46,15,35,181,1,6/17/2020
47,6,78,428,4,6/18/2020
48,11,53,339,4,6/18/2020
49,6,11,169,3,6/18/2020
50,17,49,352,1,6/18/2020
51,13,89,477,2,6/18/2020
52,11,67,74,2,6/19/2020
53,15,51,162,2,6/19/2020
54,2,17,427,3,6/19/2020
55,8,11,126,3,6/19/2020
56,20,35,203,3,6/20/2020
57,4,75,204,1,6/21/2020
58,17,10,240,1,6/21/2020
59,12,39,357,4,6/21/2020
60,5,95,131,4,6/21/2020
61,18,8,239,1,6/21/2020
62,18,99,21,3,6/22/2020
63,15,71,452,1,6/23/2020
64,4,27,167,3,6/23/2020
65,2,85,7,1,6/24/2020
66,11,71,338,2,6/24/2020
67,9,51,99,1,6/25/2020
68,7,1,41,3,6/26/2020
69,8,26,25,1,6/26/2020
70,9,36,318,1,6/26/2020
71,20,36,16,2,6/27/2020
72,18,39,289,4,6/28/2020
73,11,45,339,1,6/30/2020
74,5,10,172,3,6/30/2020
75,19,89,46,4,6/30/2020
76,13,66,111,3,7/1/2020
77,9,18,111,1,7/1/2020
78,15,11,463,4,7/1/2020
79,12,68,82,3,7/1/2020
80,12,5,151,4,7/1/2020
81,16,61,256,4,7/1/2020
82,9,57,478,2,7/2/2020
83,8,64,379,1,7/3/2020
84,6,4,10,3,7/4/2020
85,13,97,197,2,7/4/2020
86,13,14,94,5,7/4/2020
87,1,92,485,1,7/5/2020
88,15,96,472,5,7/5/2020
89,11,81,403,3,7/5/2020
90,1,12,417,4,7/5/2020
91,9,72,197,3,7/5/2020
92,5,14,328,4,7/5/2020
93,10,32,33,5,7/7/2020
94,14,47,63,4,7/7/2020
95,14,29,451,1,7/8/2020
96,16,64,141,1,7/8/2020
97,3,28,31,1,7/8/2020
98,6,39,326,3,7/8/2020
99,10,49,91,1,7/9/2020
100,13,77,117,3,7/9/2020
101,17,12,479,2,7/9/2020
102,13,38,270,2,7/10/2020
103,8,40,295,2,7/10/2020
104,8,86,383,2,7/11/2020
105,6,27,297,3,7/12/2020
106,11,93,37,2,7/12/2020
107,9,72,80,4,7/12/2020
108,1,24,393,1,7/13/2020
109,20,72,475,3,7/13/2020
110,5,53,159,1,7/13/2020
111,9,28,258,2,7/13/2020
112,7,27,458,4,7/13/2020
113,13,67,269,5,7/14/2020
114,18,43,12,4,7/14/2020
115,4,57,259,2,7/15/2020
116,12,70,101,4,7/15/2020
117,6,89,135,4,7/17/2020
118,14,25,283,4,7/17/2020
119,8,24,357,2,7/17/2020
120,9,57,480,3,7/18/2020
121,18,46,385,2,7/19/2020
122,5,29,260,4,7/19/2020
123,9,23,20,4,7/19/2020
124,16,26,66,1,7/20/2020
125,13,58,178,2,7/20/2020
126,1,71,453,3,7/21/2020
127,17,3,105,1,7/21/2020
128,7,87,474,5,7/22/2020
129,3,83,63,1,7/22/2020
130,11,67,452,3,7/23/2020
131,2,27,125,4,7/23/2020
132,19,48,297,1,7/23/2020
133,15,16,211,4,7/23/2020
134,15,100,106,1,7/24/2020
135,2,39,490,2,7/24/2020
136,20,64,63,2,7/24/2020
137,9,13,158,4,7/24/2020
138,3,96,447,4,7/26/2020
139,11,100,65,4,7/27/2020
140,15,67,47,5,7/27/2020
141,9,61,404,1,7/27/2020
142,16,40,374,4,7/28/2020
143,1,96,217,4,7/28/2020
144,10,69,209,4,7/29/2020
145,1,4,205,2,7/29/2020
146,4,63,110,4,7/29/2020
147,13,98,65,2,7/29/2020
148,8,98,209,2,7/30/2020
149,16,39,424,1,7/30/2020
150,6,24,213,3,7/30/2020
151,11,45,113,3,7/30/2020
152,11,68,300,2,7/31/2020
153,20,52,219,1,7/31/2020
154,16,38,182,3,7/31/2020
155,8,74,39,1,7/31/2020
156,1,3,255,3,7/31/2020
157,14,23,226,1,8/1/2020
158,12,38,10,3,8/2/2020
159,19,77,490,1,8/2/2020
160,4,31,294,4,8/2/2020
161,3,45,316,2,8/3/2020
162,4,47,73,1,8/4/2020
163,11,36,400,3,8/4/2020
164,20,81,414,4,8/4/2020
165,10,95,234,1,8/5/2020
166,18,26,168,1,8/5/2020
167,9,87,438,1,8/6/2020
168,14,28,481,4,8/6/2020
169,15,56,281,5,8/7/2020
170,19,98,185,2,8/8/2020
171,20,61,140,1,8/8/2020
172,19,42,31,2,8/8/2020
173,1,28,283,4,8/8/2020
174,6,43,313,1,8/9/2020
175,10,41,473,2,8/9/2020
176,2,95,316,3,8/9/2020
177,2,20,314,2,8/10/2020
178,3,51,191,3,8/11/2020
179,8,79,27,4,8/11/2020
180,16,25,255,2,8/11/2020
181,15,48,375,4,8/11/2020
182,12,60,52,4,8/11/2020
183,2,22,399,3,8/11/2020
184,18,63,194,1,8/11/2020
185,12,28,205,3,8/12/2020
186,9,92,497,1,8/12/2020
187,16,99,425,2,8/12/2020
188,5,88,384,2,8/13/2020
189,16,79,165,3,8/14/2020
190,11,67,191,1,8/14/2020
191,16,73,105,4,8/14/2020
192,5,89,222,1,8/14/2020
193,13,47,106,5,8/15/2020
194,3,9,251,5,8/15/2020
195,19,60,138,4,8/16/2020
196,7,25,464,1,8/16/2020
197,17,22,351,2,8/16/2020
198,18,81,385,2,8/16/2020
199,18,17,267,1,8/17/2020
200,13,65,400,4,8/17/2020
201,16,25,181,4,8/18/2020
202,19,21,295,4,8/18/2020
203,9,47,45,2,8/18/2020
204,6,26,188,4,8/19/2020
205,8,83,406,3,8/19/2020
206,9,53,474,1,8/19/2020
207,18,37,382,2,8/20/2020
208,14,23,239,3,8/20/2020
209,19,8,325,4,8/20/2020
210,1,60,231,1,8/20/2020
211,1,26,305,1,8/21/2020
212,8,57,322,5,8/22/2020
213,3,7,2,5,8/22/2020
214,2,36,403,4,8/22/2020
215,8,77,290,1,8/23/2020
216,19,75,157,2,8/24/2020
217,19,8,272,2,8/24/2020
218,14,90,433,1,8/25/2020
219,16,45,97,2,8/25/2020
220,7,25,21,3,8/26/2020
221,6,81,299,5,8/26/2020
222,18,39,329,2,8/26/2020
223,15,48,107,1,8/27/2020
224,8,12,405,4,8/27/2020
225,2,18,263,4,8/28/2020
226,13,28,331,2,8/29/2020
227,14,39,433,4,8/29/2020
228,2,45,108,3,8/29/2020
229,14,1,301,2,8/29/2020
230,19,73,107,4,8/30/2020
231,13,70,443,1,8/30/2020
232,1,75,96,2,8/31/2020
233,3,3,70,2,8/31/2020
234,4,66,31,1,8/31/2020
235,6,23,373,2,9/1/2020
236,10,53,236,5,9/1/2020
237,11,5,371,1,9/2/2020
238,8,34,70,2,9/2/2020
239,12,75,260,3,9/2/2020
240,8,5,359,3,9/2/2020
241,16,61,236,2,9/2/2020
242,9,80,78,2,9/3/2020
243,5,67,303,3,9/4/2020
244,10,10,111,5,9/5/2020
245,19,26,158,2,9/5/2020
246,9,50,392,4,9/5/2020
247,6,19,133,3,9/5/2020
248,1,37,411,3,9/5/2020
249,3,25,7,2,9/5/2020
250,13,93,1,4,9/6/2020
251,15,3,468,3,9/6/2020
252,12,57,360,2,9/7/2020
253,3,97,230,3,9/7/2020
254,14,70,381,2,9/7/2020
255,7,12,471,3,9/8/2020
256,6,93,426,1,9/8/2020
257,3,22,4,2,9/8/2020
258,9,34,30,2,9/8/2020
259,12,77,124,1,9/9/2020
260,1,45,156,1,9/10/2020
261,18,13,232,4,9/10/2020
262,6,99,221,4,9/11/2020
263,6,4,451,2,9/11/2020
264,4,70,200,1,9/12/2020
265,5,7,155,2,9/12/2020
266,11,83,384,4,9/12/2020
267,3,48,258,1,9/13/2020
268,7,48,96,3,9/13/2020
269,19,72,122,1,9/14/2020
270,4,80,263,4,9/14/2020
271,13,67,37,1,9/14/2020
272,11,69,415,2,9/15/2020
273,4,54,83,2,9/15/2020
274,13,39,63,2,9/15/2020
275,12,13,5,2,9/16/2020
276,10,75,27,1,9/16/2020
277,14,17,78,1,9/16/2020
278,12,86,260,1,9/17/2020
279,2,37,173,3,9/17/2020
280,20,41,240,1,9/17/2020
281,2,1,206,4,9/17/2020
282,8,9,477,3,9/18/2020
283,14,90,342,4,9/19/2020
284,9,25,38,5,9/20/2020
285,5,80,76,5,9/20/2020
286,6,65,337,3,9/21/2020
287,15,84,119,2,9/21/2020
288,1,44,101,1,9/21/2020
289,6,45,344,3,9/21/2020
290,8,99,111,2,9/21/2020
291,7,20,295,3,9/21/2020
292,13,15,157,2,9/21/2020
293,18,100,486,2,9/21/2020
294,20,11,65,1,9/22/2020
295,18,71,280,3,9/22/2020
296,1,44,360,1,9/23/2020
297,6,31,193,1,9/23/2020
298,1,58,395,2,9/23/2020
299,10,27,268,3,9/24/2020
300,20,76,236,2,9/24/2020
301,18,28,191,4,9/24/2020
302,8,21,147,1,9/24/2020
303,1,92,411,4,9/25/2020
304,2,88,245,3,9/25/2020
305,5,7,427,4,9/26/2020
306,15,29,137,4,9/27/2020
307,19,54,280,3,9/27/2020
308,6,3,21,4,9/27/2020
309,17,41,94,5,9/28/2020
310,14,54,165,4,9/28/2020
311,9,39,163,4,9/28/2020
312,12,28,144,2,9/28/2020
313,9,73,83,3,9/29/2020
314,2,97,408,2,9/29/2020
315,3,33,335,1,9/29/2020
316,3,53,398,4,9/30/2020
317,19,2,140,2,9/30/2020
318,1,79,334,3,9/30/2020
319,14,7,87,3,9/30/2020
320,9,42,169,2,10/1/2020
321,16,86,221,2,10/1/2020
322,5,67,369,5,10/1/2020
323,3,46,302,2,10/1/2020
324,3,80,341,4,10/1/2020
325,14,27,404,1,10/1/2020
326,20,4,181,2,10/1/2020
327,4,66,34,2,10/2/2020
328,7,1,449,5,10/2/2020
329,19,45,263,3,10/2/2020
330,6,14,9,1,10/2/2020
331,15,83,405,3,10/2/2020
332,3,3,385,4,10/3/2020
333,7,20,197,3,10/3/2020
334,13,50,234,3,10/4/2020
335,13,19,99,3,10/4/2020
336,13,62,462,2,10/5/2020
337,13,92,77,1,10/5/2020
338,14,51,336,3,10/5/2020
339,4,17,204,2,10/5/2020
340,3,25,185,2,10/5/2020
341,8,1,242,1,10/5/2020
342,7,66,403,3,10/6/2020
343,18,73,389,1,10/6/2020
344,3,85,75,4,10/7/2020
345,9,62,287,3,10/7/2020
346,2,29,323,4,10/8/2020
347,13,68,187,3,10/8/2020
348,11,12,169,4,10/9/2020
349,7,74,237,2,10/9/2020
350,1,41,376,3,10/9/2020
351,7,33,242,4,10/9/2020
352,8,56,227,1,10/10/2020
353,8,72,59,4,10/10/2020
354,1,86,425,3,10/10/2020
355,6,40,455,5,10/10/2020
356,8,32,388,3,10/10/2020
357,15,44,139,3,10/10/2020
358,6,74,489,3,10/12/2020
359,1,88,395,2,10/13/2020
360,4,21,150,1,10/13/2020
361,14,51,431,3,10/13/2020
362,10,39,316,2,10/14/2020
363,7,72,111,5,10/14/2020
364,1,57,485,3,10/14/2020
365,9,23,287,2,10/14/2020
366,7,31,180,1,10/15/2020
367,13,47,382,1,10/16/2020
368,20,86,388,1,10/16/2020
369,2,13,171,3,10/16/2020
370,19,33,136,4,10/18/2020
371,1,47,182,5,10/18/2020
372,15,46,56,3,10/18/2020
373,20,89,478,1,10/19/2020
374,14,93,322,1,10/19/2020
375,16,52,39,5,10/19/2020
376,3,1,148,4,10/20/2020
377,6,87,14,1,10/21/2020
378,17,7,278,3,10/22/2020
379,9,33,118,2,10/22/2020
380,20,26,58,3,10/22/2020
381,6,92,340,4,10/22/2020
382,7,34,86,3,10/22/2020
383,2,59,379,3,10/23/2020
384,8,98,275,4,10/23/2020
385,4,54,171,3,10/23/2020
386,19,49,163,4,10/23/2020
387,4,71,481,4,10/24/2020
388,3,96,130,4,10/24/2020
389,5,81,385,1,10/25/2020
390,9,65,275,4,10/25/2020
391,4,75,183,1,10/25/2020
392,3,91,134,3,10/26/2020
393,8,90,213,4,10/26/2020
394,8,75,237,3,10/26/2020
395,19,38,394,5,10/26/2020
396,13,55,369,3,10/27/2020
397,14,62,392,4,10/27/2020
398,13,21,61,1,10/28/2020
399,17,64,43,4,10/28/2020
400,10,48,129,4,10/28/2020
401,9,36,310,4,10/28/2020
402,11,53,236,2,10/29/2020
403,7,78,324,2,10/29/2020
404,13,18,473,5,10/29/2020
405,19,46,74,1,10/29/2020
406,12,21,236,5,10/30/2020
407,2,60,97,1,10/30/2020
408,7,82,142,5,10/30/2020
409,6,33,436,2,10/30/2020
410,17,86,258,4,11/1/2020
411,6,97,189,3,11/1/2020
412,16,94,347,3,11/1/2020
413,3,83,372,1,11/2/2020
414,15,67,421,3,11/2/2020
415,6,89,398,4,11/3/2020
416,8,33,368,3,11/3/2020
417,6,48,470,4,11/3/2020
418,5,39,394,3,11/4/2020
419,10,37,134,4,11/4/2020
420,14,65,463,2,11/4/2020
421,4,25,463,3,11/5/2020
422,1,42,130,3,11/5/2020
423,13,50,389,2,11/5/2020
424,16,7,195,3,11/5/2020
425,16,94,155,3,11/6/2020
426,5,72,446,1,11/6/2020
427,9,34,171,2,11/6/2020
428,18,55,277,4,11/7/2020
429,1,11,80,5,11/8/2020
430,2,64,418,4,11/8/2020
431,6,74,270,4,11/9/2020
432,20,61,392,1,11/9/2020
433,13,48,249,3,11/9/2020
434,8,62,483,3,11/10/2020
435,18,65,337,5,11/11/2020
436,18,75,4,4,11/11/2020
437,6,67,234,4,11/11/2020
438,4,91,180,4,11/12/2020
439,5,33,18,3,11/12/2020
440,16,99,200,4,11/13/2020
441,14,37,474,5,11/13/2020
442,10,83,331,1,11/13/2020
443,16,48,259,5,11/14/2020
444,5,87,163,3,11/15/2020
445,15,65,233,5,11/15/2020
446,6,90,378,1,11/15/2020
447,19,5,306,2,11/15/2020
448,1,11,418,5,11/15/2020
449,4,81,13,2,11/16/2020
450,7,87,7,4,11/16/2020
451,5,76,388,2,11/16/2020
452,3,56,438,4,11/16/2020
453,13,80,389,3,11/17/2020
454,17,20,201,2,11/18/2020
455,13,55,417,2,11/18/2020
456,14,6,322,4,11/19/2020
457,1,33,406,1,11/20/2020
458,17,91,294,4,11/20/2020
459,19,65,278,5,11/20/2020
460,16,88,29,5,11/20/2020
461,19,95,344,5,11/22/2020
462,11,38,125,1,11/23/2020
463,18,21,117,2,11/23/2020
464,3,5,417,2,11/23/2020
465,5,51,470,4,11/23/2020
466,6,51,175,3,11/23/2020
467,20,56,305,3,11/24/2020
468,11,71,454,2,11/24/2020
469,5,51,408,2,11/24/2020
470,11,30,32,3,11/24/2020
471,15,94,102,4,11/25/2020
472,13,35,433,3,11/25/2020
473,13,41,451,2,11/25/2020
474,12,30,393,4,11/26/2020
475,17,10,17,1,11/26/2020
476,1,94,319,1,11/26/2020
477,12,30,408,4,11/27/2020
478,20,61,481,1,11/27/2020
479,12,55,319,1,11/28/2020
480,6,74,212,4,11/29/2020
481,8,76,439,2,11/29/2020
482,15,14,415,5,11/29/2020
483,9,15,422,1,11/30/2020
484,14,15,490,2,11/30/2020
485,20,21,283,1,11/30/2020
486,2,58,111,5,11/30/2020
487,1,42,108,4,12/1/2020
488,18,92,371,5,12/1/2020
489,7,17,69,3,12/2/2020
490,18,57,264,2,12/3/2020
491,9,21,315,4,12/3/2020
492,8,56,239,4,12/4/2020
493,16,98,124,2,12/4/2020
494,4,79,91,3,12/5/2020
495,13,99,320,3,12/5/2020
496,6,5,112,3,12/5/2020
497,15,70,488,2,12/5/2020
498,11,84,394,1,12/5/2020
499,12,97,120,2,12/6/2020
500,17,14,168,3,12/6/2020
501,7,89,122,3,12/6/2020
502,5,50,333,3,12/6/2020
503,8,3,131,5,12/7/2020
504,1,75,102,2,12/7/2020
505,18,28,48,4,12/7/2020
506,9,21,283,3,12/7/2020
507,5,37,345,5,12/8/2020
508,14,42,129,3,12/8/2020
509,8,74,446,2,12/8/2020
510,7,54,57,3,12/9/2020
511,10,70,269,4,12/9/2020
512,9,56,70,5,12/9/2020
513,1,91,498,3,12/10/2020
514,1,42,331,5,12/10/2020
515,20,84,210,3,12/10/2020
516,16,94,303,4,12/10/2020
517,11,65,196,1,12/10/2020
518,8,5,401,3,12/11/2020
519,10,95,140,1,12/11/2020
520,19,52,70,4,12/11/2020
521,9,49,229,1,12/11/2020
522,5,37,498,3,12/11/2020
523,15,27,387,3,12/11/2020
524,17,65,442,2,12/11/2020
525,9,95,70,2,12/13/2020
526,4,61,214,4,12/13/2020
527,5,69,311,4,12/14/2020
528,14,92,468,3,12/14/2020
529,9,65,267,2,12/14/2020
530,16,38,352,3,12/14/2020
531,13,63,344,3,12/15/2020
532,1,36,24,1,12/16/2020
533,9,6,127,4,12/16/2020
534,4,90,242,1,12/16/2020
535,6,34,272,2,12/16/2020
536,5,100,481,1,12/17/2020
537,16,99,366,1,12/17/2020
538,5,100,376,4,12/17/2020
539,10,90,28,2,12/17/2020
540,9,36,444,3,12/18/2020
541,5,9,229,4,12/18/2020
542,17,87,275,2,12/19/2020
543,9,26,212,4,12/19/2020
544,1,62,93,3,12/19/2020
545,15,33,276,2,12/19/2020
546,11,50,331,2,12/20/2020
547,5,31,439,3,12/20/2020
548,11,89,139,2,12/21/2020
549,2,73,229,4,12/22/2020
550,16,40,338,3,12/23/2020
551,2,78,367,3,12/24/2020
552,6,39,28,1,12/24/2020
553,15,61,470,3,12/25/2020
554,15,72,52,2,12/25/2020
555,1,65,169,2,12/25/2020
556,18,65,489,3,12/27/2020
557,5,66,384,3,12/27/2020
558,20,91,405,1,12/28/2020
559,1,78,443,2,12/29/2020
560,2,31,276,1,12/29/2020
561,7,59,294,1,12/29/2020
562,3,14,410,4,12/30/2020
563,18,70,285,2,12/30/2020
564,4,17,181,1,12/30/2020
565,7,3,329,3,12/30/2020
566,20,67,302,3,12/30/2020
567,6,53,495,6,12/30/2020
568,19,59,492,3,12/30/2020
569,4,100,51,2,12/31/2020
570,7,14,99,5,12/31/2020
571,1,84,239,3,12/31/2020
572,3,41,288,3,1/1/2021
573,20,3,91,3,1/1/2021
574,11,25,435,1,1/2/2021
575,18,76,291,3,1/2/2021
576,12,73,334,2,1/2/2021
577,19,4,471,1,1/2/2021
578,16,83,272,2,1/3/2021
579,3,31,264,2,1/3/2021
580,20,55,378,2,1/4/2021
581,15,90,372,3,1/4/2021
582,12,57,237,2,1/4/2021
583,4,64,395,2,1/4/2021
584,19,13,437,1,1/5/2021
585,19,57,379,1,1/5/2021
586,15,77,397,4,1/5/2021
587,9,53,281,1,1/5/2021
588,19,17,207,3,1/6/2021
589,4,100,230,1,1/6/2021
590,18,7,494,3,1/7/2021
591,18,73,493,3,1/7/2021
592,11,68,262,1,1/7/2021
593,3,21,43,1,1/7/2021
594,19,68,308,4,1/8/2021
595,13,12,422,1,1/8/2021
596,8,81,492,4,1/8/2021
597,4,23,81,4,1/9/2021
598,13,62,151,2,1/10/2021
599,11,61,13,2,1/10/2021
600,20,62,489,2,1/10/2021
601,8,68,495,2,1/10/2021
602,18,12,300,3,1/10/2021
603,13,94,254,3,1/10/2021
604,3,68,368,4,1/10/2021
605,1,98,358,2,1/11/2021
606,9,76,318,3,1/11/2021
607,16,38,435,1,1/12/2021
608,7,48,142,3,1/12/2021
609,12,54,375,4,1/12/2021
610,8,78,314,3,1/12/2021
611,13,71,485,3,1/12/2021
612,16,94,160,3,1/13/2021
613,9,5,172,2,1/13/2021
614,6,61,378,2,1/13/2021
615,12,84,486,4,1/14/2021
616,20,54,85,4,1/14/2021
617,2,79,332,2,1/16/2021
618,18,100,497,2,1/17/2021
619,11,89,128,4,1/18/2021
620,18,67,234,3,1/18/2021
621,19,44,12,1,1/19/2021
622,19,31,211,2,1/20/2021
623,5,93,450,2,1/20/2021
624,3,46,341,3,1/20/2021
625,8,11,186,2,1/21/2021
626,13,35,22,1,1/22/2021
627,4,78,27,1,1/22/2021
628,11,84,464,4,1/22/2021
629,11,57,193,2,1/23/2021
